cod_nat_dicrim;lib_dicrim;lib_bassin_risques;cod_commune;lib_commune;lib_commentaire;dat_program_dicrim_deb;dat_program_dicrim_fin;dat_etu_dicrim_deb;dat_etu_dicrim_fin;dat_publi_dicrim;dat_reception_min;dat_maj
50DDTM20150198;Chérencé-le-Roussel;"";50131;Chérencé-le-Roussel;"";;;;;2010-09-30 00:00:00;;2015-11-18 00:00:00
50DDTM20150197;Cérences;"";50109;Cérences;"";;;;;2008-08-22 00:00:00;;2015-11-18 00:00:00
50DDTM20150196;Céaux;"";50108;Céaux;"";;;;;2015-08-14 00:00:00;;2016-06-15 00:00:00
50DDTM20150195;Cavigny;"";50106;Cavigny;"";;;;;2006-09-14 00:00:00;;2015-11-18 00:00:00
50DDTM20150194;Brix;"";50087;Brix;"";;;;;2007-05-15 00:00:00;;2015-11-18 00:00:00
50DDTM20150193;Bricquebosq;"";50083;Bricquebosq;"";;;;;2006-11-20 00:00:00;;2015-11-18 00:00:00
50DDTM20150192;Breuville;"";50079;Breuville;"";;;;;2006-12-13 00:00:00;;2015-11-18 00:00:00
50DDTM20150191;Bretteville;"";50077;Bretteville;"";;;;;2009-06-16 00:00:00;;2015-11-27 00:00:00
50DDTM20150190;Brectouville;"";50075;Brectouville;"";;;;;2010-02-23 00:00:00;;2015-11-18 00:00:00
50DDTM20150189;Brécey;"";50074;Brécey;"";;;;;2008-05-15 00:00:00;;2015-11-18 00:00:00
50DDTM20150188;Boisyvon;"";50062;Boisyvon;"";;;;;2009-06-30 00:00:00;;2015-11-18 00:00:00
50DDTM20150187;Biville;"";50057;Biville;"";;;;;2015-07-23 00:00:00;;2016-06-15 00:00:00
50DDTM20150186;Beslon;"";50048;Beslon;"";;;;;2009-09-22 00:00:00;;2015-11-18 00:00:00
50DDTM20150185;Benoîtville;"";50045;Benoîtville;"";;;;;2007-06-14 00:00:00;;2015-11-18 00:00:00
50DDTM20150184;Beauvoir;"";50042;Beauvoir;"";;;;;2008-01-29 00:00:00;;2015-11-18 00:00:00
50DDTM20150183;Beaumont-Hague;"";50041;Beaumont-Hague;"";;;;;2007-12-21 00:00:00;;2015-11-18 00:00:00
50DDTM20150182;Baudre;"";50034;Baudre;"";;;;;2007-04-20 00:00:00;;2015-11-18 00:00:00
50DDTM20150181;Barneville-Carteret;"";50031;Barneville-Carteret;"";;;;;2016-06-22 00:00:00;;2016-07-27 00:00:00
50DDTM20150180;Avranches;"";50025;Avranches;"";;;;;2009-04-02 00:00:00;;2015-11-18 00:00:00
50DDTM20150179;Auderville;"";50020;Auderville;"";;;;;2007-04-24 00:00:00;;2015-11-18 00:00:00
50DDTM20150177;Airel;"";50004;Airel;"";;;;;2007-05-14 00:00:00;;2015-11-18 00:00:00
24DDT20150133;DICRIM ST CAPRAISE DE LALINDE;"";24382;Saint-Capraise-de-Lalinde;"";;;;;2013-07-07 00:00:00;;
24DDT20150132;DICRIM MONTAGRIER;"";24286;Montagrier;"";;;;;2015-06-25 00:00:00;;
24DDT20150130;DICRIM ST MEDARD DE MUSSIDAN;"";24462;Saint-Médard-de-Mussidan;"";;;;;2015-05-28 00:00:00;;
50DDTM20150175;Annoville;"";50015;Annoville;"";;;;;2015-09-15 00:00:00;;2016-06-15 00:00:00
24DDT20150129;DICRIM DOUZILLAC;"";24157;Douzillac;"";;;;;2015-04-10 00:00:00;;2015-11-18 00:00:00
24DDT20150128;DICRIM ST PARDOUX LA RIVIERE;"";24479;Saint-Pardoux-la-Rivière;"";;;;;2015-06-26 00:00:00;;
24DDT20150127;DICRIM ST MICHEL DE MONTAIGNE;"";24466;Saint-Michel-de-Montaigne;"";;;;;2015-02-10 00:00:00;;
24DDT20150126;DICRIM PERIGUEUX;"";24322;Périgueux;"";;;;;2015-04-10 00:00:00;;
50DDTM20150173;Agneaux;"";50002;Agneaux;"";;;;;2006-12-08 00:00:00;;2015-11-18 00:00:00
24DDT20150115;DICRIM CLERMONT DE BEAUREGARD;"";24123;Clermont-de-Beauregard;"";;;;;2014-11-28 00:00:00;;
24DDT20150114;DICRIM CHATEAU L'EVEQUE;"";24115;Château-l'Évêque;"";;;;;2013-09-27 00:00:00;;
24DDT20150113;DICRIM BERBIGUIERES;"";24036;Berbiguières;"";;;;;2013-10-14 00:00:00;;
24DDT20150112;DICRIM VALOJOULX;"";24563;Valojoulx;"";;;;;2013-09-29 00:00:00;;
24DDT20150111;DICRIM URVAL;"";24560;Urval;"";;;;;2013-04-13 00:00:00;;
24DDT20150110;DICRIM ST SEURIN DE PRATS;"";24501;Saint-Seurin-de-Prats;"";;;;;2015-03-23 00:00:00;;
50DDTM20150172;Acqueville;"";50001;Acqueville;"";;;;;2007-01-16 00:00:00;;2015-11-18 00:00:00
24DDT20150109;DICRIM ST PIERRE D'EYRAUD;"";24427;Saint-Jean-d'Eyraud;"";;;;;2013-12-04 00:00:00;;
